"Run Name","LoRA Rank","Learning Rate","Target Modules","Trainable Parameters","Eval Loss","SQuAD F1"
"LoRA_r4_lr7e-05_modules_attn","4","0.00007","attn","221184","0.4496480524539947","20"
"LoRA_r4_lr7e-05_modules_attn_mlp","4","0.00007","attn_mlp","589824","0.3479970693588257","20"
"LoRA_r4_lr7e-05_modules_attn_qv","4","0.00007","attn_qv","221184","0.4668452441692352","40"
"LoRA_r4_lr1e-04_modules_attn","4","0.0001","attn","221184","0.3708512485027313","20"
"LoRA_r4_lr1e-04_modules_attn_mlp","4","0.0001","attn_mlp","589824","0.32698386907577515","20"
"LoRA_r4_lr1e-04_modules_attn_qv","4","0.0001","attn_qv","221184","0.3708512485027313","20"
"LoRA_r4_lr2e-04_modules_attn","4","0.0002","attn","221184","0.31557101011276245","42.66666666666667"
"LoRA_r4_lr2e-04_modules_attn_mlp","4","0.0002","attn_mlp","589824","0.29554200172424316","32"
"LoRA_r4_lr2e-04_modules_attn_qv","4","0.0002","attn_qv","221184","0.31557101011276245","42.66666666666667"
"LoRA_r4_lr5e-04_modules_attn","4","0.0005","attn","221184","0.280810683965683","32"
"LoRA_r4_lr5e-04_modules_attn_mlp","4","0.0005","attn_mlp","589824","0.27335605025291443","32"
"LoRA_r4_lr5e-04_modules_attn_qv","4","0.0005","attn_qv","221184","0.280810683965683","32"
"LoRA_r4_lr1e-03_modules_attn","4","0.001","attn","221184","0.2478853464126587","65.33333333333334"
"LoRA_r4_lr1e-03_modules_attn_mlp","4","0.001","attn_mlp","589824","0.25963059067726135","29.333333333333336"
"LoRA_r4_lr1e-03_modules_attn_qv","4","0.001","attn_qv","221184","0.2478853464126587","65.33333333333334"
"LoRA_r8_lr7e-05_modules_attn","8","0.00007","attn","442368","0.4462931156158447","20"
"LoRA_r8_lr7e-05_modules_attn_mlp","8","0.00007","attn_mlp","1179648","0.3468504250049591","20"
"LoRA_r8_lr7e-05_modules_attn_qv","8","0.00007","attn_qv","442368","0.4462931156158447","20"
"LoRA_r8_lr1e-04_modules_attn","8","0.0001","attn","442368","0.3636344075202942","20"
"LoRA_r8_lr1e-04_modules_attn_mlp","8","0.0001","attn_mlp","1179648","0.3268336057662964","26.666666666666668"
"LoRA_r8_lr1e-04_modules_attn_qv","8","0.0001","attn_qv","442368","0.3636344075202942","20"
"LoRA_r8_lr2e-04_modules_attn","8","0.0002","attn","442368","0.31535765528678894","42.66666666666667"
"LoRA_r8_lr2e-04_modules_attn_mlp","8","0.0002","attn_mlp","1179648","0.29414263367652893","32"
"LoRA_r8_lr2e-04_modules_attn_qv","8","0.0002","attn_qv","442368","0.31535765528678894","42.66666666666667"
"LoRA_r8_lr5e-04_modules_attn","8","0.0005","attn","442368","0.28294599056243896","32"
"LoRA_r8_lr5e-04_modules_attn_mlp","8","0.0005","attn_mlp","1179648","0.2692886292934418","32"
"LoRA_r8_lr5e-04_modules_attn_qv","8","0.0005","attn_qv","442368","0.28294599056243896","32"
"LoRA_r8_lr1e-03_modules_attn","8","0.001","attn","442368","0.2509443163871765","0"
"LoRA_r8_lr1e-03_modules_attn_mlp","8","0.001","attn_mlp","1179648","0.253191739320755","32"
"LoRA_r8_lr1e-03_modules_attn_qv","8","0.001","attn_qv","442368","0.2509443163871765","0"
"LoRA_r16_lr7e-05_modules_attn","16","0.00007","attn","884736","0.46573954820632935","20"
"LoRA_r16_lr7e-05_modules_attn_mlp","16","0.00007","attn_mlp","2359296","0.34555813670158386","20"
"LoRA_r16_lr7e-05_modules_attn_qv","16","0.00007","attn_qv","884736","0.46573954820632935","20"
"LoRA_r16_lr1e-04_modules_attn","16","0.0001","attn","884736","0.36780980229377747","30.666666666666664"
"LoRA_r16_lr1e-04_modules_attn_mlp","16","0.0001","attn_mlp","2359296","0.32543709874153137","10.666666666666668"
"LoRA_r16_lr1e-04_modules_attn_qv","16","0.0001","attn_qv","884736","0.36780980229377747","30.666666666666664"
"LoRA_r16_lr2e-04_modules_attn","16","0.0002","attn","884736","0.3160938620567322","32"
"LoRA_r16_lr2e-04_modules_attn_mlp","16","0.0002","attn_mlp","2359296","0.2921527326107025","32"
"LoRA_r16_lr2e-04_modules_attn_qv","16","0.0002","attn_qv","884736","0.3160938620567322","32"
"LoRA_r16_lr5e-04_modules_attn","16","0.0005","attn","884736","0.279911071062088","32"
"LoRA_r16_lr5e-04_modules_attn_mlp","16","0.0005","attn_mlp","2359296","0.26742613315582275","32"
"LoRA_r16_lr5e-04_modules_attn_qv","16","0.0005","attn_qv","884736","0.279911071062088","32"
"LoRA_r16_lr1e-03_modules_attn","16","0.001","attn","884736","0.2521783113479614","52"
"LoRA_r16_lr1e-03_modules_attn_mlp","16","0.001","attn_mlp","2359296","0.25194600224494934","60.88888888888889"
"LoRA_r16_lr1e-03_modules_attn_qv","16","0.001","attn_qv","884736","0.2521783113479614","52"
"LoRA_r32_lr7e-05_modules_attn","32","0.00007","attn","1769472","0.45782580971717834","20"
"LoRA_r32_lr7e-05_modules_attn_mlp","32","0.00007","attn_mlp","4718592","0.3459716737270355","20"
"LoRA_r32_lr7e-05_modules_attn_qv","32","0.00007","attn_qv","1769472","0.45782580971717834","20"
"LoRA_r32_lr1e-04_modules_attn","32","0.0001","attn","1769472","0.3635026514530182","30.666666666666664"
"LoRA_r32_lr1e-04_modules_attn_mlp","32","0.0001","attn_mlp","4718592","0.3264775574207306","26.666666666666668"
"LoRA_r32_lr1e-04_modules_attn_qv","32","0.0001","attn_qv","1769472","0.3635026514530182","30.666666666666664"
"LoRA_r32_lr2e-04_modules_attn","32","0.0002","attn","1769472","0.312964528799057","42.66666666666667"
"LoRA_r32_lr2e-04_modules_attn_mlp","32","0.0002","attn_mlp","4718592","0.2941412627696991","32"
"LoRA_r32_lr2e-04_modules_attn_qv","32","0.0002","attn_qv","1769472","0.312964528799057","42.66666666666667"
"LoRA_r32_lr5e-04_modules_attn","32","0.0005","attn","1769472","0.27996495366096497","32"
"LoRA_r32_lr5e-04_modules_attn_mlp","32","0.0005","attn_mlp","4718592","0.2708600163459778","32"
"LoRA_r32_lr5e-04_modules_attn_qv","32","0.0005","attn_qv","1769472","0.27996495366096497","32"
"LoRA_r32_lr1e-03_modules_attn","32","0.001","attn","1769472","0.24847622215747833","20"
"LoRA_r32_lr1e-03_modules_attn_mlp","32","0.001","attn_mlp","4718592","0.2523019313812256","65.33333333333334"
"LoRA_r32_lr1e-03_modules_attn_qv","32","0.001","attn_qv","1769472","0.24847622215747833","20"
"LoRA_r64_lr7e-05_modules_attn","64","0.00007","attn","3538944","0.46191954612731934","20"
"LoRA_r64_lr7e-05_modules_attn_mlp","64","0.00007","attn_mlp","9437184","0.3464810252189636","20"
"LoRA_r64_lr7e-05_modules_attn_qv","64","0.00007","attn_qv","3538944","0.46191954612731934","20"
"LoRA_r64_lr1e-04_modules_attn","64","0.0001","attn","3538944","0.3663844764232635","30.666666666666664"
"LoRA_r64_lr1e-04_modules_attn_mlp","64","0.0001","attn_mlp","9437184","0.3264920711517334","10.666666666666668"
"LoRA_r64_lr1e-04_modules_attn_qv","64","0.0001","attn_qv","3538944","0.3663844764232635","30.666666666666664"
"LoRA_r64_lr2e-04_modules_attn","64","0.0002","attn","3538944","0.31520095467567444","32"
"LoRA_r64_lr2e-04_modules_attn_mlp","64","0.0002","attn_mlp","9437184","0.29302170872688293","32"
