"Run Name","LoRA Rank","Learning Rate","Target Modules","Train Loss","Eval Loss","Trainable Parameters","SQuAD F1","SQuAD Exact Match"
"LoRA_r4_lr1e-03_modules_attn","4","0.001","attn","0","0.2478853464126587","221184","65.33333333333334","20"
"LoRA_r4_lr1e-03_modules_attn_qv","4","0.001","attn_qv","0","0.2478853464126587","221184","65.33333333333334","20"
"LoRA_r32_lr1e-03_modules_attn","32","0.001","attn","0","0.24847622215747833","1769472","20","20"
"LoRA_r32_lr1e-03_modules_attn_qv","32","0.001","attn_qv","0","0.24847622215747833","1769472","20","20"
"LoRA_r8_lr1e-03_modules_attn","8","0.001","attn","0","0.2509443163871765","442368","0","0"
"LoRA_r8_lr1e-03_modules_attn_qv","8","0.001","attn_qv","0","0.2509443163871765","442368","0","0"
"LoRA_r16_lr1e-03_modules_attn_mlp","16","0.001","attn_mlp","0","0.25194600224494934","2359296","60.88888888888889","0"
"LoRA_r16_lr1e-03_modules_attn","16","0.001","attn","0","0.2521783113479614","884736","52","20"
"LoRA_r16_lr1e-03_modules_attn_qv","16","0.001","attn_qv","0","0.2521783113479614","884736","52","20"
"LoRA_r32_lr1e-03_modules_attn_mlp","32","0.001","attn_mlp","0","0.2523019313812256","4718592","65.33333333333334","20"
